Wavelength	Transit Depth
(meters)	(percent)
2.997692e-07	2.202356e+00
3.000686e-07	2.202183e+00
3.003682e-07	2.202013e+00
3.006681e-07	2.201844e+00
3.009683e-07	2.201693e+00
3.012689e-07	2.201506e+00
3.015697e-07	2.201338e+00
3.018708e-07	2.201171e+00
3.021723e-07	2.201002e+00
3.024740e-07	2.200834e+00
3.027760e-07	2.200667e+00
3.030783e-07	2.200500e+00
3.033810e-07	2.200333e+00
3.036839e-07	2.200167e+00
3.039872e-07	2.200001e+00
3.042907e-07	2.199835e+00
3.045945e-07	2.199670e+00
3.048987e-07	2.199504e+00
3.052031e-07	2.201854e+00
3.055079e-07	2.199175e+00
3.058130e-07	2.199010e+00
3.061183e-07	2.198846e+00
3.064240e-07	2.198683e+00
3.067300e-07	2.198519e+00
3.070363e-07	2.198356e+00
3.073428e-07	2.198194e+00
3.076497e-07	2.198031e+00
3.079569e-07	2.197869e+00
3.082644e-07	2.197707e+00
3.085723e-07	2.197545e+00
3.088804e-07	2.197384e+00
3.091888e-07	2.197223e+00
3.094975e-07	2.197062e+00
3.098066e-07	2.196902e+00
3.101159e-07	2.196742e+00
3.104256e-07	2.196582e+00
3.107356e-07	2.196422e+00
3.110459e-07	2.196263e+00
3.113564e-07	2.196104e+00
3.116674e-07	2.195945e+00
3.119786e-07	2.197420e+00
3.122901e-07	2.195631e+00
3.126019e-07	2.195472e+00
3.129141e-07	2.195314e+00
3.132265e-07	2.195157e+00
3.135393e-07	2.195000e+00
3.138524e-07	2.194844e+00
3.141658e-07	2.194762e+00
3.144795e-07	2.194532e+00
3.147935e-07	2.194376e+00
3.151078e-07	2.194221e+00
3.154225e-07	2.194066e+00
3.157374e-07	2.193911e+00
3.160527e-07	2.193757e+00
3.163683e-07	2.193606e+00
3.166842e-07	2.193613e+00
3.170004e-07	2.193296e+00
3.173170e-07	2.193143e+00
3.176338e-07	2.192990e+00
3.179510e-07	2.192838e+00
3.182685e-07	2.192686e+00
3.185863e-07	2.192534e+00
3.189044e-07	2.192382e+00
3.192228e-07	2.192231e+00
